question,document
Is there a course management site for LLM Zoomcamp where I can check the current cohort and assignments?,20c5a1347e
"How do I track the schedule and progress for this Zoomcamp, and is there a central platform for it?",20c5a1347e
"What’s the official place to follow the LLM Zoomcamp structure, deadlines, and homework updates?",20c5a1347e
Does LLM Zoomcamp use the same management platform as the other DataTalks.Club Zoomcamps for tracking progress and homework?,20c5a1347e
"Do you run live sessions or office hours for every module, or is everything just pre-recorded in the repo?",d65e05bd7a
"If I get stuck on a module, where should I ask for help instead of waiting for a live session?",d65e05bd7a
How do I know when a live session for the course is happening?,d65e05bd7a
Is there any paid option that gives regular Zoom office hours and extra support for the LLM Zoomcamp?,d65e05bd7a
Are the course materials still free if I don’t join the optional support community?,d65e05bd7a
Can I count Bluesky posts as learning in public credits for this course?,dbf5369006
Does posting on Bluesky qualify for the learning in public requirement?,dbf5369006
Are Bluesky updates accepted for learning in public credits?,dbf5369006
"If I share my progress on Bluesky, can that be used toward learning in public credits?",dbf5369006
Is Bluesky one of the platforms I can use to get learning in public credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram group for announcements?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
"Should I use the LLM Zoomcamp Telegram chat for technical questions, or is there a better place?",054f3fd58f
"Where do course announcements for LLM Zoomcamp get posted, and what’s the Telegram URL?",054f3fd58f
Why do I get a different number of FAQ records than in the course videos?,e2d595f23c
Is the FAQ dataset supposed to match exactly what’s shown in the lectures?,e2d595f23c
Why has the count of questions in the FAQ data changed since the recording?,e2d595f23c
"Did the FAQ file get updated after the videos were made, or am I missing something?",e2d595f23c
I’m seeing more or fewer records than in the demo — is that because the FAQ dataset is live?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
Does the deadline matter if the submission page is still accepting answers?,a9353fadfe
When does homework submission actually close — at the deadline or only when the form is shut?,a9353fadfe
"If I missed the listed due date, is it still okay to submit while the form remains open?",a9353fadfe
Should I submit my homework after the deadline as long as the form hasn’t been closed yet?,a9353fadfe
"Can I turn in homework late if I missed the deadline, or is it completely closed after that?",cdc3b285e5
Do you give one-off deadline extensions for homework in this course?,cdc3b285e5
"If the homework deadline passed but the submission form is still open, can I still send it in?",cdc3b285e5
"Will missing a homework hurt my chance to get the certificate, or is the Capstone the only required thing?",cdc3b285e5
"Does skipping a homework remove me from the leaderboard, or do homework points only affect ranking?",cdc3b285e5
"If I enter my real name for the certificate, will that name be visible online or shared with anyone else?",651ba06b34
What name shows up on the public leaderboard if I fill in my certificate name separately?,651ba06b34
"Is the certificate name the same as the display name, or are they used in different places?",651ba06b34
Where can I change the nickname that appears on the leaderboard versus the name printed on the certificate?,651ba06b34
Can I keep my real name off the public profile but still have it on the certificate?,651ba06b34
Why does the course avoid using LangChain at the start?,b7cdde6b25
What’s the reason we build RAG components ourselves instead of using a framework?,b7cdde6b25
"Is there a specific benefit to learning prompting, retrieval, indexing, and evaluation without LangChain?",b7cdde6b25
How does this course justify not relying on LangChain for LLM apps?,b7cdde6b25
Should I learn the basic RAG pieces first before using LangChain or similar tools?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
What does it mean if my OpenAI responses.create command fails with insufficient credits?,f5df151c59
How can I fix the error I see from OpenAI responses.create about not having enough credits?,f5df151c59
Is the responses.create issue in Module 1 RAG caused by my OpenAI account credits?,f5df151c59
What should I check in my OpenAI account if responses.create returns an insufficient credits error?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does this mean I’ve hit a rate limit, or is it actually my API quota/billing issue?",152af39a53
What do I need to do on the OpenAI side to make the API work again?,152af39a53
"After adding funds, do I need to change the model in responses.create or can I keep using the same one?",152af39a53
Do I have to create a new API key after I top up my account?,152af39a53
How much money do I need to spend to use the OpenAI API for this course?,554d0eb78b
Do I have to pay a lot to start using the OpenAI API in the RAG module?,554d0eb78b
"What’s the minimum I can add to my OpenAI account, and will the course still be cheap to run?",554d0eb78b
"Is OpenAI API usage in the course expensive, or is it usually just a tiny cost?",554d0eb78b
"If I want to follow along with the course, how much should I expect to spend on OpenAI API calls?",554d0eb78b
Do I actually need to pay for the OpenAI API to finish the homework in this course?,85384a18e5
"Is a paid OpenAI subscription required for the LLM Zoomcamp assignments, or can I skip it?",85384a18e5
What should I use instead of OpenAI API if I want to avoid paying for this course?,85384a18e5
Are there any free or cheap alternatives to OpenAI API that are acceptable for the course work?,85384a18e5
Where can I find the list of OpenAI API alternatives recommended in the course repo?,85384a18e5
Why does the course use uv instead of pip and virtualenv for setup?,f81dea8f7e
What makes uv better or easier than the usual Python tooling stack?,f81dea8f7e
"Do I have to use uv in this course, or can I stick with pip and virtualenv?",f81dea8f7e
"Is uv mainly for dependency installs, or does it also handle environments and Python versions?",f81dea8f7e
"Why do the lessons recommend uv when there are already tools like pip, virtualenv, poetry, and pyenv?",f81dea8f7e
"Why does my Jupyter notebook still not see OPENAI_API_KEY, even though I put it in .env?",86d99bbf21
Do I need python-dotenv for loading OPENAI_API_KEY in the notebook?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
What if the API key is in .env but the notebook says it can’t find it?,86d99bbf21
Could a wrong variable name in .env be the reason OPENAI_API_KEY is missing?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python without hardcoding them?,233dabe430
What’s the easiest way to use python-dotenv for OpenAI or Groq keys in a project?,233dabe430
Should I add .env to gitignore when storing API keys for the course exercises?,233dabe430
How do I read OPENAI_API_KEY and GROQ_API_KEY from environment variables after loading .env?,233dabe430
Do I need to install anything special before using a .env file for API keys in Python?,233dabe430
Can I switch to a different LLM provider for the homework instead of the one suggested?,ee43413718
"Is it okay to use OpenAI alternatives like Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model in this assignment?",ee43413718
"Do I need a paid API service to finish the homework, or can I do it with free options?",ee43413718
"If I use another model provider, what parts of the code might I need to change?",ee43413718
Where can I find a list of API alternatives or other model providers recommended for the course?,ee43413718
How do I set up Gemini in the Module 1 notebook using the OpenAI-compatible API endpoint?,0ae5c221b9
What do I need in my .env file to call Google Gemini from the course notebook?,0ae5c221b9
"Can I use an OpenAI client with Gemini models in llm-zoomcamp, and what base URL should I use?",0ae5c221b9
Why does the notebook code need changes when switching from the Responses API to the old chat completions style for Gemini?,0ae5c221b9
What does the llm helper look like when using a Gemini model through the OpenAI-compatible endpoint?,0ae5c221b9
How do I get a Pydantic object back from Gemini if `responses.parse` isn’t supported on the OpenAI-compatible endpoint?,341f71f28c
Can I still use the OpenAI SDK with Gemini and parse the output into a Pydantic model somehow?,341f71f28c
What’s the right way to make Gemini return structured data in chat completions instead of manually decoding JSON?,341f71f28c
How do I define a schema like `Question` / `Questions` and use it with `chat.completions.parse`?,341f71f28c
Is there a way to get parsed FAQ questions from Gemini through the OpenAI endpoint without using the newer Responses API?,341f71f28c
"How do I install Ollama on Mac, Windows, or Linux for the RAG module?",1d0b969028
"After installing Ollama, what command should I run to start using llama3 locally?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What do I need to install in Python to use Ollama from a script?,1d0b969028
Can you show a tiny Python example for sending a chat request to Ollama with llama3?,1d0b969028
How do I fix a connection refused error when I’m prompting my Ollama RAG notebook?,c6fc2d4d11
My Ollama server seems down during the homework — what should I restart exactly?,c6fc2d4d11
"After stopping the notebook, do I need to run the Ollama serve cell again before continuing?",c6fc2d4d11
What command can I use to bring the Ollama server back up if the connection gets refused?,c6fc2d4d11
"I’m getting an error connecting to Ollama in Module 1 RAG, what’s the quickest way to get it working again?",c6fc2d4d11
Why does `tiktoken.encode()` give me a smaller token count than OpenAI’s chat API for the same prompt?,bf0403d21b
"In `chat.completions.create()`, what hidden tokens get added on top of my message text?",bf0403d21b
"How many extra tokens does each chat message usually add, and why does the assistant response start with more tokens too?",bf0403d21b
"Can whitespace, newlines, or weird Unicode characters make OpenAI report more tokens than my local count?",bf0403d21b
"I counted 320 tokens in my prompt, but the API says 327 — what’s causing that gap?",bf0403d21b
How can I keep my API key loaded automatically so I don't have to export it in every new terminal?,8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc and is more portable across shells?,8b2f5e9d04
What do I need to put in my shell config to make the key load when I enter the project folder?,8b2f5e9d04
"For a Python script, how can I load the .env file from the project root without setting env vars manually?",8b2f5e9d04
"If I'm using GitHub Codespaces, what's the recommended way to store secrets instead of keeping them in the repo?",8b2f5e9d04
How do I figure out the best field weights for minsearch without just guessing?,87d4ea4e08
Is there a proper way to tune search field weights instead of using trial and error?,87d4ea4e08
What should I do to compare different field weight settings in a search engine?,87d4ea4e08
Do I need some kind of labeled dataset before changing weights in minsearch?,87d4ea4e08
Which metrics should I look at when testing different field weights for retrieval?,87d4ea4e08
What’s the best way to clean documents before using them in RAG?,649c280e6d
"Do I need to keep things like titles, dates, and section headings when preparing data for retrieval?",649c280e6d
"Is JSON required for storing docs in a RAG pipeline, or can I use something else?",649c280e6d
How should I split documents into chunks so retrieval works better?,649c280e6d
"Besides cleaning the text, what metadata should I keep for later filtering or ranking?",649c280e6d
"Why does uv show “Failed to hardlink files” in GitHub Codespaces, and is the installation still okay?",acf8fa5356
What should I do if uv can’t hardlink from cache to the environment in Codespaces?,acf8fa5356
How can I stop the uv hardlink warning just for my current terminal session?,acf8fa5356
How do I make uv use copy mode by default every time I open a new shell?,acf8fa5356
"Is the hardlink warning from uv in Codespaces something I need to fix, or can I ignore it?",acf8fa5356
I'm getting an error that dotenv isn't recognized. Which package do I need to install for that?,0bed1f48da
What do I have to add to my environment if Python says dotenv is missing?,0bed1f48da
How can I fix the issue where dotenv is not found in my project?,0bed1f48da
Is there a pip or uv install for using load_dotenv in Python?,0bed1f48da
"After installing the dotenv package, how do I load my .env file in code?",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I use a local setup for this module?",aa310de435
"If I run everything locally, what tools do I need to install first?",aa310de435
Why does the course recommend Codespaces if local development is allowed?,aa310de435
What should I keep in mind if I want my local environment to be reproducible?,aa310de435
"If I keep writing code in Codespaces but never commit it, where does it actually get stored?",610ccb23c0
Does my work in GitHub Codespaces disappear if I just close it without committing changes?,610ccb23c0
What happens to files in a Codespace if the VM is stopped or the session gets disconnected?,610ccb23c0
"Is it safe to rely only on the Codespaces machine for saving my code, or should I commit often?",610ccb23c0
Why do I need to commit regularly in Codespaces if the code is already on the Linux VM?,610ccb23c0
Why does WSL2 say my model needs more memory even though my PC has enough RAM?,f3dd94f323
How can I give WSL2 more RAM so the model stops failing with a memory error?,f3dd94f323
Where do I set the memory limit for WSL2 on Windows?,f3dd94f323
What is the easiest way to check if WSL2 is actually using the RAM I set?,f3dd94f323
Do I need to restart WSL after changing the memory settings in .wslconfig?,f3dd94f323
My GitHub Codespace is stuck on “Finishing up” and won’t open — what can I try to get it working again?,830f3d2018
"If my codespace won’t reconnect, is there an easy workaround before I delete it and make a new one?",830f3d2018
Why did my setup disappear after a rebuild or new Codespace — did I lose everything?,830f3d2018
"What actually survives when I stop and restart a GitHub Codespace, and what gets wiped out?",830f3d2018
"If Codespaces keep acting up for this course, is it okay to switch to running everything locally instead?",830f3d2018
"Can I use a different LLM provider instead of OpenAI for the RAG homework, or is the course locked to OpenAI only?",c6ff9083c0
"If I switch to another hosted model API, what do I need to change in the course code so it still works?",c6ff9083c0
What are some OpenAI-compatible alternatives I can use if the usual provider is blocked in my region?,c6ff9083c0
Is it possible to run the model on my own machine with something like Ollama or vLLM and use that for the course?,c6ff9083c0
Do I need a paid key or external API at all if I host a model locally or on a rented GPU box?,c6ff9083c0
How can I stop getting 429 errors from OpenAI when my notebook loops over lots of docs?,8e21752415
Is there a good way to make the OpenAI client retry automatically instead of failing on a temporary rate limit?,8e21752415
What should I do in a thread pool or process pool so I don’t hit the per-minute limit so fast?,8e21752415
How can I avoid re-running embeddings or LLM calls every time I restart the notebook?,8e21752415
Would batching inputs or using a cheaper model/provider help with course exercises and API limits?,8e21752415
"In agentic RAG, what exactly counts as a tool or function, and what is it used for?",c296ea5a21
"Do I need to understand the difference between tools and functions, or are they basically the same thing in this course?",c296ea5a21
"When the model is using agentic RAG, how does it decide whether to call a tool instead of answering directly?",c296ea5a21
"What are some common examples of tools/functions in RAG systems, like searching docs or hitting an API?",c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
Which free models can I use if I need tool calling support for development?,0d74a3616f
"Does Groq have any no-cost models that support tools, like Deepseek R1 or Llama 4?",0d74a3616f
"Besides OpenAI, what providers support function calling or tool use in this module?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change the code?",0d74a3616f
Where can I find the docs for Groq tool use and see how the schemas and responses work?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call OpenAI Responses API with a Mistral/Groq/Gemini model?,9e7b3f0c25
"Do non-OpenAI models support `client.responses.create(...)`, or should I switch to another API call?",9e7b3f0c25
"For provider models that aren’t from OpenAI, what’s the right way to read the assistant text from the response?",9e7b3f0c25
"If I’m using a different provider, do I need to change the tools schema too, or can I reuse the OpenAI one as-is?",9e7b3f0c25
Can I still use the older chat completions interface for the homework if the Responses API doesn’t work with my model?,9e7b3f0c25
"Why am I getting the Azure OpenAI 400 error about missing `tools[0].function`, and how should I fix my weather tool definition?",b9c7c6bb34
What does the `get_weather_tool` JSON need to look like so Azure OpenAI accepts it without the missing parameter error?,b9c7c6bb34
I keep seeing `Missing required parameter: 'tools[0].function'` in Module 1 Agentic RAG — what should I change in my tool config?,b9c7c6bb34
"How do I define the weather function tool properly for Azure OpenAI, especially the `function` part inside `tools`?",b9c7c6bb34
Can you show the correct JSON structure for `get_weather_tool` when using Azure OpenAI?,b9c7c6bb34
Why do I get a 404 error in toyaikit when I swap OpenAI for Groq or another provider?,0224d980b3
How can I make toyaikit work with Groq without hitting the OpenAI Responses endpoint?,0224d980b3
"Is there a way to use Anthropic models in toyaikit instead of OpenAI, and what runner should I use?",0224d980b3
What’s the difference between the Responses runner and the chat completions runner in toyaikit?,0224d980b3
"When using toyaikit programmatically, should I call runner.loop or runner.run?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is there a GitHub page with the 2026 Module 1 homework instructions?,53f15299b6
"Do I need to check the course platform, or are the homework links only in the repo?",53f15299b6
What’s the right link for the Module 1 cohort materials and homework file?,53f15299b6
"Besides the platform, where can I read the homework details and extra context?",53f15299b6
Why am I getting an empty list back after filtering my query in Module 1 homework Q3?,83da208a64
Could this be caused by how I indexed the data before running the filters and query?,83da208a64
"Do I need to set up the index settings first, then add the data, before searching?",83da208a64
My query works but the filtered result is empty — what should I check in the indexing step?,83da208a64
"In homework Q3, what's the fix if my filters return nothing even though the data is there?",83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create(), and how do I stop it?",cfb07a27d5
"Do I need to set max_output_tokens somewhere in Module 1 homework code, or is the default too high?",cfb07a27d5
"In rag_helper.py, where should I add the output token limit so my OpenRouter key doesn’t get rejected?",cfb07a27d5
"For the ToyAIKit question in Q6, what extra setting should I pass to OpenAIClient to avoid this 402 issue?",cfb07a27d5
How can I tell if the problem is my OpenRouter config or just that the model is using too many possible output tokens?,cfb07a27d5
"In Module 1 homework, when people say RAG should point to the chunk index, what does that actually mean?",b4300adeb1
"For the homework pipeline, should I build the search index from the full docs or from the split chunks?",b4300adeb1
"If I have `documents` and `chunks`, which one should go into `index.fit(...)` for RAG?",b4300adeb1
Why does the homework RAG setup use chunks instead of the original documents when retrieving context?,b4300adeb1
How do I make sure the prompt only gets the relevant chunked text and not the whole document?,b4300adeb1
"If my homework number doesn't exactly match any choice, should I still pick one of the options or leave it blank?",5e4ca64cb5
Why do my calculated answers sometimes differ a little from the multiple-choice options in the homework?,5e4ca64cb5
When is it okay to choose the nearest answer even if my result is not exactly the same as the listed option?,5e4ca64cb5
My result is pretty far from all the answers—what should I check first before submitting?,5e4ca64cb5
"Do homework solutions in this course need exact matches, or is being close enough sometimes accepted?",5e4ca64cb5
Where should I look first if a homework task in Module 1 is confusing?,7d3a2e3505
"Is the course platform page enough for the homework, or do I need to check GitHub too?",7d3a2e3505
"For the 2026 Module 1 homework, which GitHub links should I open to understand the assignment?",7d3a2e3505
Why does the homework sometimes feel different from the lesson even though it's based on the same topic?,7d3a2e3505
"If I still don't get the homework after reading the instructions, what’s the best way to ask for help in Slack?",7d3a2e3505
How should I count tokens for the Module 1 homework if I’m using a model that isn’t OpenAI?,fe8fed31e6
Where can I find the token usage info in the response object for an OpenAI-compatible client?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my provider doesn’t return token usage fields at all?,fe8fed31e6
"For the multiple-choice token question, am I supposed to pick the exact number or the closest option?",fe8fed31e6
"Why does my homework link get rejected with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
Could my GitHub repo being private be the reason the checker can't access my submission URL?,bcdb8740ce
Do I need to remove the .git part from the repository link when I submit the homework?,bcdb8740ce
How can I quickly test if the URL I pasted is actually reachable by the grader?,bcdb8740ce
What are the most common mistakes that make the homework submission URL return a bad status code?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people say similar inputs get similar vectors?",69430a79a8
How do embeddings turn text or other non-numerical data into numbers without losing the meaning?,69430a79a8
Why is the distance between embedding vectors useful for semantic similarity search?,69430a79a8
"Is the vector space model related to embeddings, or is it a different idea?",69430a79a8
How do embeddings connect to dimensionality reduction in machine learning?,69430a79a8
"How do I get rid of the warning about ""multi-qa-mpnet-base-dot-v1"" and sentence-transformers v3.0.0 beta?",aa3f597424
What should I install if I want to suppress the model warning in Module 2 vector search?,aa3f597424
"Is upgrading sentence-transformers the fix for the ""was made on sentence transformers v3.0.0 bet"" warning?",aa3f597424
Which pip command should I run to stop the multi-qa-mpnet-base-dot-v1 warning message?,aa3f597424
Do I need sentence-transformers 3.0.0 or higher to avoid that warning?,aa3f597424
Why did the lesson just use `.dot(...)` for similarity instead of doing cosine similarity explicitly?,92cd22cada
"In the homework, why do we have to normalize the vectors before using dot product?",92cd22cada
"Are model embeddings like `model.encode(...)` already unit-length, or do we need to normalize them ourselves?",92cd22cada
Why is dot product enough in the lesson but not when using TF-IDF + SVD embeddings?,92cd22cada
"When does dot product equal cosine similarity, and when does it not?",92cd22cada
"For vector search, is there a best choice between embedding just the question, just the answer text, or both together?",5c4a8d2e60
"Should I index only the answer, only the question, or concatenate question plus text when building embeddings?",5c4a8d2e60
"In the vector search assignment, why would embedding the answer alone still work for matching user questions?",5c4a8d2e60
"Does using question + text for embeddings usually improve retrieval, and is the extra cost worth it?",5c4a8d2e60
How am I supposed to decide which embedding setup is better for my dataset in the vector search module?,5c4a8d2e60
"How does cosine similarity measure how close two vectors are, and why is it useful for comparing documents?",db78580409
"In text analysis, what does cosine similarity compare between two documents exactly?",db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Why do people use cosine similarity with word counts or TF-IDF vectors instead of other distance measures?,db78580409
How is the angle between two non-zero vectors related to their cosine similarity?,db78580409
Why does cosine similarity become just a dot product once the embeddings are normalized?,95feb4e75b
"If all vectors have unit length, why can we use matrix multiplication instead of computing cosine similarity directly?",95feb4e75b
How does normalizing the query and document vectors let us compare them with a simple dot product?,95feb4e75b
"In vector search, why is cosine similarity between normalized vectors the same as multiplying the embedding matrix by the query vector?",95feb4e75b
What’s the reason cosine similarity can be computed efficiently as a matrix product after normalization?,95feb4e75b
"For Module 2, do I actually need to create a new GitHub repo, or is starting a separate Codespace enough?",1e829a8c6f
Why does the course say to use a fresh codespace for vector search instead of keeping everything in the old one?,1e829a8c6f
"If I set up Module 2 in Codespaces, can I just reuse my existing repository and avoid making another repo?",1e829a8c6f
"What’s the reason for keeping Module 2 isolated in its own codespace, especially with the heavier dependencies?",1e829a8c6f
"Since a codespace might be deleted later, should I make sure to commit my Module 2 work somewhere first?",1e829a8c6f
Why does download.py stay stuck at 0% when it tries to get model.onnx from HuggingFace?,29b69fbe0b
What can I do if the model download from HuggingFace is hanging forever?,29b69fbe0b
Can I just grab model.onnx in the browser instead of waiting for the script?,29b69fbe0b
Where should I put model.onnx so download.py won’t try to fetch it again?,29b69fbe0b
Does download.py skip the download if model.onnx is already saved locally?,29b69fbe0b
Why do the matrix version and the loop version of vector search not match exactly?,e889793af9
Is it normal that `scores = X.dot(v_query)` and a Python for-loop give tiny differences?,e889793af9
"Why does `np.allclose(scores, scores_loop)` sometimes return False even when both methods do the same dot product?",e889793af9
Are the small mismatches between BLAS dot products and manual loops just floating-point rounding?,e889793af9
How should I compare vector search scores if the two implementations differ in the last decimal places?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk in vector search?,1a7b27c4df
Could the list index error happen because my embedding count doesn't match the number of chunks?,1a7b27c4df
How should I build embeddings from chunks so that the rows in X match len(chunks)?,1a7b27c4df
What is the right way to encode the chunk contents before searching for the best match?,1a7b27c4df
"If my best chunk lookup crashes, what should I check first in the chunk list and embeddings array?",1a7b27c4df
Why is my Q2 cosine similarity from Module 2 homework not matching any of the choices?,eaa17a9dc6
"Do I need to use the `Embedder` from `embedder.py` for the homework, or can I use `sentence-transformers`?",eaa17a9dc6
Could the wrong embedding model be the reason my similarity score is off in Module 2?,eaa17a9dc6
"When doing Q2, should I embed the page `content` field or something else like the filename or full record?",eaa17a9dc6
"If my cosine score is a little different from the listed answers, should I just choose the closest one?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily keys for Kestra in this module?",3860e5fe8b
Why does Kestra need both the normal Gemini key and a SECRET_ base64 version?,3860e5fe8b
What environment variables should I export before starting Kestra for the flows to work?,3860e5fe8b
How do I restart Kestra so it picks up the API key variables I added?,3860e5fe8b
"In a Kestra flow, how do I reference the Gemini secret without using the SECRET_ prefix?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help create Kestra flows, and how do I stop that?",04440cab11
"Do I need to set a normal Gemini key for Kestra Copilot, or is the base64 secret enough?",04440cab11
I exported SECRET_GEMINI_API_KEY but the Copilot still refuses to answer — what am I missing?,04440cab11
What should I check if Kestra Copilot works sometimes but then falls back to that canned message?,04440cab11
"Could this be a Gemini quota issue, and how do I tell if the API key is the problem or I hit rate limits?",04440cab11
Why does my Kestra flow say the Gemini key is missing or invalid even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a bad base64 encode be the reason my secret auth keeps failing in Kestra?,c8ca21af33
"Do I need to restart Kestra after exporting a new API key, or is the container supposed to pick it up automatically?",c8ca21af33
"Should I use SECRET_GEMINI_API_KEY inside the flow, or is there a different way to reference the secret?",c8ca21af33
"What's the safest way to pass my API keys to Kestra — shell export, or should I use a .env file with docker compose?",c8ca21af33
Why not just use a notebook for this instead of an orchestrator like Kestra?,193612db63
What does Kestra add beyond running code once in a script or notebook?,193612db63
"In this module, why are we using Kestra to learn about AI workflows?",193612db63
"How does Kestra help with things like retries, scheduling, and monitoring in real projects?",193612db63
"Can I switch between OpenAI, Gemini, or Anthropic in a Kestra flow without rewriting everything?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for Module 3?",cce328db64
"For the final project, can I use Airflow, Prefect, Dagster, or even just Python instead of Kestra?",cce328db64
"If I already know Airflow, do I still need to try Kestra in Module 3?",cce328db64
"Will a plain Python ingestion/indexing script be enough for the project, or do I need a workflow tool?",cce328db64
"Can I switch AI providers in a Kestra flow, like OpenAI, Gemini, or Anthropic, without rewriting the flow?",cce328db64
"Does Kestra work only with Gemini, or can I plug in OpenAI, Anthropic, xAI, Groq, or even a local model like Ollama?",f442efe5b4
"If I switch from Gemini to another provider in Kestra, do I need to rewrite the whole flow or just change the provider block?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the provider-specific ones like OpenAI or Gemini?,f442efe5b4
Can I run an OpenAI-compatible model from Ollama or LM Studio in Kestra without a special plugin?,f442efe5b4
How do I use Groq or another OpenAI-compatible service in Kestra if it doesn’t have its own dedicated plugin?,f442efe5b4
"Is there a way to build a Kestra flow without typing YAML by hand, like some kind of form or no-code editor?",bfe5502c30
"How does the AI Copilot help me create a Kestra workflow, and can I keep refining it with more prompts?",bfe5502c30
Can I generate Kestra flows from my editor with tools like Claude Code or Codex instead of using the Kestra UI?,bfe5502c30
What’s the main difference between Kestra and Airflow when it comes to where the Python logic lives?,bfe5502c30
