question,answer_llm,answer_orig,document
Can the final homework version be different from what I see now?,"Yes. The final homework version can be different while it is still in draft.

It is considered ready only when:
- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, the content can still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next run of the course scheduled for?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when this course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next time this course will start?,The next course start is **Summer 2027**.,Summer 2027.,bd31146b0e
When can I expect the course to be available next?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a date for the upcoming course offering?,I don't know.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for this zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:

- https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — each lesson page has the relevant **videos linked at the top**. If there’s any confusion, the GitHub repo is the best place to follow because it stays more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the best place to start if I’m looking for the lesson videos?,"The best place to start is the **LLM Zoomcamp GitHub repository**. Open the lesson folders there — each lesson page has the relevant videos linked at the top.

If you want the course materials overview, start here too:
- [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
- [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

When in doubt, follow the GitHub repo first because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Are the videos linked somewhere in the repo, or do I need to search YouTube?","Yes — the videos are linked in the repo.

Use the **LLM Zoomcamp GitHub repository** as the main entry point, then open the **lesson folders**. Each lesson page has the relevant videos linked at the top. If you’re unsure, check the GitHub repo first rather than searching YouTube.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I get to the lecture recordings for each lesson in this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the **lesson folders** there, and on **each lesson page the relevant videos are linked at the top**.

When in doubt, follow the GitHub repo first since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest course videos?,Use the **GitHub repo first**. It’s the main entry point and is easier to keep updated than the YouTube playlist.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Where do I go to see the LLM Zoomcamp syllabus, homework deadlines, and my progress all in one place?","Go to the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the **syllabus, homework deadlines, and your progress** all in one place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course management site for LLM Zoomcamp where I can check the current cohort and assignments?,"Yes — the LLM Zoomcamp course management platform is here:

https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"How do I track the schedule and progress for this Zoomcamp, and is there a central platform for it?","Use the **LLM Zoomcamp course management platform** to track the syllabus, deadlines, homework, and your progress:

https://courses.datatalks.club/llm-zoomcamp-2026/

Yes, that is the central platform for the course.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What’s the official place to follow the LLM Zoomcamp structure, deadlines, and homework updates?","The official place is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Does LLM Zoomcamp use the same management platform as the other DataTalks.Club Zoomcamps for tracking progress and homework?,"Yes. The context says the **LLM Zoomcamp course management platform** is used for tracking **syllabus, deadlines, homework, and progress**, and that **“the process is the same as in other DataTalks.Club Zoomcamps.”**","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do you run live sessions or office hours for every module, or is everything just pre-recorded in the repo?","There are no separate live sessions for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, ask in Slack and follow the questions guidelines.

","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help instead of waiting for a live session?","Ask your question in **Slack**, following the **asking questions guidelines**, instead of waiting for a live session.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I know when a live session for the course is happening?,"Live sessions are announced separately when they happen. The video URL is usually posted in the announcements channel on Telegram and Slack before the session begins, and you can also watch it on the DataTalksClub YouTube channel.

","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any paid option that gives regular Zoom office hours and extra support for the LLM Zoomcamp?,"Yes. The optional paid support is **AI Shipping Labs**, which includes **regular Zoom office hours** and **additional structure/support** for the LLM Zoomcamp. The main course content from DataTalks.Club remains free.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Are the course materials still free if I don’t join the optional support community?,Yes. The DataTalks.Club course content remains free even if you don’t join the optional paid support community.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Can I count Bluesky posts as learning in public credits for this course?,Yes. Bluesky posts can be used for learning in public credits for this course.,Yes. Bluesky posts can be used for learning in public credits.,dbf5369006
Does posting on Bluesky qualify for the learning in public requirement?,Yes. Bluesky posts can be used for the learning in public requirement.,Yes. Bluesky posts can be used for learning in public credits.,dbf5369006
