question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
How do students join the Office Hours live stream if the Zoom link isn’t shared with us?,489dd1c9d9,good,"The agent answer matches the ground truth closely. It correctly states that students do not use the Zoom link, that the link is only for instructors/presenters/TAs, and that students join via YouTube Live and ask questions through Slido. It also includes the announcements channel and DataTalksClub YouTube channel, plus the warning not to post questions in chat. This preserves the key information from the original answer.",good,"The single search query was relevant and included the main concepts from the question (Office Hours live stream, Zoom link, students join). One search call was reasonable and sufficient for this question. There were no unnecessary or duplicate tool calls."
Where can I find the live video URL for workshop or Office Hours sessions before they start?,489dd1c9d9,good,"The agent’s answer matches the ground truth. It states that the live video URL is posted in the announcements channel on Telegram and Slack before the session starts, mentions that Zoom is only for instructors/presenters/TAs, says students watch via YouTube Live, and notes that the Slido link is pinned in chat when live. This contains the key information from the original answer. It omits the caution about not posting questions in chat, but that was extra detail rather than essential to the question.",good,"The single search query was relevant and used key terms from the question (“live video URL,” “workshop,” “Office Hours,” “before they start”). One search was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
"If I’m watching the course live, should I ask questions in the chat or use something else?",489dd1c9d9,good,"The agent answer matches the ground truth: it says not to use chat for questions, directs students to Slido with the link pinned in chat, and mentions YouTube Live plus Telegram/Slack announcements. It preserves the key warning that chat questions may be missed. Minor wording differences are fine.",good,"The single search query was relevant to the user’s question and included key ideas like watching live, asking questions, and chat. One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supported the final answer."
"Do regular students get access to the Zoom link for live sessions, or is it only for presenters and TAs?",489dd1c9d9,good,"The agent answer matches the ground truth on the core point: regular students do not get the Zoom link; it is only for instructors/presenters/TAs. It also correctly says students join via YouTube Live and ask questions on Slido, and mentions announcements on Telegram/Slack. The only minor omission is that it does not mention the YouTube channel explicitly, but the essential information is present.",good,"The search query was relevant and included key terms from the question such as Zoom link, live sessions, students, presenters, and TAs. Only one search was needed, and it was reasonable for this simple FAQ-style question. The tool call supported the final answer."
What’s the best way to follow along and submit questions during a live Office Hours session?,489dd1c9d9,good,"The agent’s answer matches the ground truth. It correctly says students should watch on YouTube Live and submit questions via Slido, notes that the Zoom link is only for instructors/presenters/TAs, mentions the video link in Telegram/Slack announcements, and warns not to post questions in live chat. This contains the key information from the original answer.",good,"The single search query was relevant to the question and contained the main concepts (follow along, submit questions, live Office Hours). One search was reasonable and sufficient; no unnecessary duplicate calls were made."
Where do I begin if I want to follow LLM Zoomcamp properly from week to week?,04919992b3,good,"The agent answer matches the ground truth closely. It includes the same starting resources (LLM Zoomcamp docs, logistics docs, GitHub repo), states that you can start whenever you want, mentions the course management platform for deadlines, and provides the same typical workflow: watch videos, work through notebooks/code, read homework instructions, and submit on time. It omits the final note that homework is similar to the lesson flow but with a different dataset or slightly different task, but the core answer is present.",good,"The single search query was relevant and contained important keywords from the question (LLM Zoomcamp, week to week, where do I begin). One search is reasonable for this straightforward FAQ-style question. The tool call supported the final answer, even though the answer largely restated the known FAQ content."
"Is there a recommended order for watching the lessons, doing the notebooks, and submitting homework?",04919992b3,good,"The agent answer is broadly consistent with the ground truth. It gives the same practical workflow: watch the lesson, work through the notebook, read homework instructions, then submit. It also correctly notes that homework is not mandatory and should be submitted only when open/finalized. While it omits the explicit references to the docs and course platform deadlines, the core answer matches the FAQ.",good,"The search query was relevant to the question and used key terms like recommended order, lessons, notebooks, and submitting homework. Only one search was needed, and the result supported the final answer. No unnecessary duplicate calls were made."
"Can I join the course whenever I want, or do I need to start on a fixed date?",04919992b3,good,"The agent’s answer matches the ground truth on the main point: you can start whenever you want, and the course materials/videos are available with deadlines on the course platform. It omits some supporting details from the original answer, such as the typical workflow and the specific reference links, but the core answer is correct.",good,"The search query was relevant to the question and included key ideas like joining anytime versus a fixed start date. Only one search was used, which is reasonable for a straightforward logistics question. The tool call supported the final answer."
"What should I check first: the docs, the GitHub repo, or the course platform deadlines?",04919992b3,good,"The agent answer matches the ground truth well. It correctly says to start with the course docs and GitHub repo, then check the course platform for deadlines. It also gives a sensible order consistent with the original answer. One omission is that it does not explicitly mention the general Zoomcamp logistics docs, but it captures the main guidance and workflow. Overall, the answer is correct.",good,"The single search query was relevant and included key terms from the question such as docs, GitHub repo, and course platform deadlines. One search was enough for this straightforward FAQ-style question, and there were no unnecessary duplicate calls."
"Does the homework follow the same pattern as the lesson materials, or is it based on different tasks or data?",04919992b3,good,"The agent answer matches the ground truth. It says homework follows the lesson workflow/pattern but often uses a different dataset or slightly different task, which is exactly the key point in the original answer. It omits the extra logistics links and workflow steps, but the core response to the question is correct.",good,"The search query was relevant and contained the main concepts from the question: homework, same pattern as lesson materials, different tasks/data. Only one search was needed, and it reasonably supported the final answer without unnecessary extra calls."
"Why can’t I find my name on the leaderboard, and how do I jump to my own entry?",c2903069a0,good,"The agent answer matches the ground truth well. It correctly explains that a random display name is assigned, tells the user to click 'Jump to your record on the leaderboard,' and notes that 'Edit Course Profile' shows the display name and official certificate name. This covers the key information asked for in the original answer, even though it is slightly more concise and omits the example random name and the specific note about anonymity.",good,"The single search query is relevant to the question and includes important keywords like 'leaderboard' and 'jump to own entry.' Only one search call was made, which is reasonable for this simple lookup. The tool call supports the final answer and there was no unnecessary duplication."
How do I check what display name the course is showing for me?,c2903069a0,good,"The agent answer matches the key part of the ground truth: it says to click 'Edit Course Profile' to see the display name, and correctly identifies the first field as the nickname/display name. It omits some extra details from the original about the random assigned name and the leaderboard link, but those are not essential to the core question. The mention of changing the certificate name is not in the original answer, but it does not conflict with it.",good,"The search query was relevant and included core keywords from the question ('display name', 'course'). Only one search was needed, which is reasonable for this straightforward FAQ question. The tool call supports the final answer."
"Is the name on the leaderboard random, or did I choose it somewhere?",c2903069a0,good,"The agent’s answer matches the ground truth. It correctly states that the leaderboard name is assigned randomly by default and that it can be changed in Edit Course Profile. It also correctly distinguishes the display/public name from the official certificate name. Minor omission: it does not mention the example random name or the 'Jump to your record on the leaderboard' link, but the core answer is present.",good,"The search query was relevant and included key terms from the question (leaderboard, random, choose name). Only one search call was made, which is reasonable for this simple lookup. The tool call supported the final answer."
Can I change the nickname that appears publicly instead of using the default one?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says the public nickname can be changed in Edit Course Profile, identifies the first field as the displayed nickname, notes it defaults to a random anonymous name, and mentions the second field is the official name used on the certificate. This covers the key points from the original answer.",good,"The single search query is relevant to the question and includes the core idea of changing a public nickname. One search is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer adequately."
What should I put in the profile fields if I want my certificate to show my real name instead of the default one?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly explains that the first field is the public display name/nickname and the second field should be the official real name as on identification documents, and that this second field controls the certificate name. Minor wording differences do not change the meaning.",good,"The single search query was relevant to the question and contained key concepts like certificate, real name, and profile fields. One search is a reasonable number, and there were no unnecessary or duplicate calls. The tool use supports the final answer."
Can I take the course at my own pace and still earn the certificate?,69d122f12e,good,"The agent answer matches the ground truth: it says self-paced mode is allowed but does not earn a certificate, and that certificates require completing with a live cohort due to the peer-review process. This contains the key points from the original answer, though it is slightly less detailed about the specific requirement to peer-review 3 capstones and the timing restriction.",good,"The tool call was relevant and used appropriate keywords from the question about self-paced pace and certificate eligibility. A single search was reasonable, and there were no unnecessary or duplicate calls. The search supported the final answer."
Is there any way to get a certificate if I don’t join a live cohort?,69d122f12e,good,"The agent’s answer matches the ground truth. It clearly says that certificates are only available if you finish the course with a live cohort, and that self-paced participants do not receive certificates because peer-reviewing capstone projects only happens while the course is actively running. This preserves the key points from the original answer.",good,"The single search query was relevant and included key terms from the question such as certificate, live cohort, and self-paced. One search call is reasonable here, and there were no unnecessary duplicate or excessive tool calls. The tool use supported the final answer."
Why isn’t the certificate available for self-paced students?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that certificates are only awarded for finishing with a live cohort, not in self-paced mode, and explains the reason: the required peer-review of 3 capstone projects can only be done while the course is running, before the form closes and the peer-review list is compiled. This preserves the key information from the original answer.",good,"The single search query was relevant to the question and included the central terms about certificates and self-paced students. One search was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
Do I have to do peer reviews to qualify for the course certificate?,69d122f12e,bad,"The agent’s answer includes the key idea that peer reviews are required for the live cohort certificate, and it mentions reviewing 3 capstone projects. However, it is not fully aligned with the ground truth because it says 'Yes' without clarifying that certificates are only available for the live cohort and not self-paced mode. The original answer’s nuance is that peer reviews are necessary because certificates are not awarded in self-paced mode, and peer reviews are only possible while the course is running. The agent misses the point that the question is about qualifying for the course certificate generally, and the correct answer is effectively 'No, not for self-paced; yes only in the live cohort context.'",good,"The search query was broadly relevant because it included 'peer reviews' and 'certificate qualify course certificate required,' but it was vague and did not include the course name or the specific 'live cohort' / 'self-paced' distinction that mattered. Only one search call was made, which is reasonable, but the query was not well targeted enough to support the exact FAQ answer."
Can I submit the project later and still review the capstones for a certificate?,69d122f12e,good,"The agent's answer matches the ground truth on the main points: certificate only with a live cohort, no certificates for self-paced mode, and peer-review of 3 capstones is required. However, it adds an unsupported detail about an 'attempt #2 window' that is not in the original answer, and its opening 'you can submit later only if the course is still accepting submissions' is more permissive than the ground truth wording. Overall, the core answer is correct despite some extra speculation.",good,"The search query was relevant to the question and included important keywords like 'submit project later', 'review capstones', and 'certificate'. Only one search call was made, which is reasonable for this straightforward FAQ-style question. The tool use supported the final answer."
Can I still get the certificate if I skipped the first homework?,9f689c185f,good,"The agent answer matches the ground truth. It correctly states that homework is not mandatory, that skipping the first homework does not prevent getting the certificate, that passing the Capstone project is required, and that homework only affects leaderboard rank and is recommended for practice.",good,"The search query was relevant to the question and included key terms like certificate and first homework. Only one search call was made, which is reasonable for this simple FAQ lookup, and it supported the final answer well."
Do I have to do all the homework to receive the course certificate?,9f689c185f,good,"The agent answer matches the ground truth. It correctly states that homework is not mandatory, that the certificate requires passing the Capstone project, and that homework is only recommended and affects leaderboard rank. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and includes the key concepts of homework and certificate requirements. One search call is reasonable, and there were no unnecessary duplicate or redundant tool calls. The tool use supports the final answer."
What do I actually need to pass in order to get the certificate?,9f689c185f,bad,"The agent correctly states the key requirement from the ground truth: you need to pass the Capstone project to get the certificate. However, it adds extra requirements that are not present in the original answer, such as needing to complete the course with the live cohort and peer-reviewing 3 capstone projects. Since the ground truth only mentions Capstone passing and that homework is optional, the answer is partially correct but not fully matching.",good,"The search query was relevant to the certificate question and included the main topic. Only one search was used, which is reasonable. However, the final answer appears to include unsupported extra details, suggesting the search did not clearly justify them. Still, the tool use itself was acceptable and not excessive."
"Is homework required for the certificate, or is it just optional?",9f689c185f,good,"The agent answer matches the ground truth. It correctly states that homework is not mandatory for the certificate, that passing the Capstone project is required, and that homework is recommended and affects leaderboard points. This captures the same key information as the original answer.",good,"The search query was relevant and directly targeted the question about whether homework is required for the certificate. Only one search call was needed, and it was reasonable and sufficient for answering the question."
"If homework isn’t mandatory, does it still count for anything in the course?",9f689c185f,good,"The agent answer matches the ground truth on the key point: homework is not mandatory, but the points do count toward leaderboard rank. It omits the unrelated Capstone project sentence, which is not needed to answer the student’s question about homework. The answer is therefore correct and sufficiently aligned with the FAQ content.",good,"The single search query was relevant and included important keywords like homework, not mandatory, count, and course. One search was reasonable, and there were no unnecessary or duplicate tool calls. The tool use supported the final answer well."
Why does the homework keep changing before it’s released?,96286b4be4,good,"The agent answer matches the ground truth well. It states that homework can still change before release because it is not final yet, and it correctly gives the two readiness conditions: the form must be open and the title must not contain [DRAFT]. It also includes the warning that early work is at the student's own risk because the final version may differ. This preserves the key information from the original answer.",good,"The tool use was reasonable. The search query was directly relevant to the question and included the core phrase about homework changing before release. Only one search was needed, which is appropriate for a straightforward FAQ lookup. The query supported the final answer."
What does the [DRAFT] tag mean in a homework title?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly explains that [DRAFT] means the homework is not ready yet, and that it is only ready when the homework form is open and the title no longer contains [DRAFT]. It also preserves the warning that content may still change and early work is at your own risk. Minor wording differences do not change the meaning.",good,"The single search query was directly relevant and used the key terms from the question ([DRAFT] tag, homework title). One search is reasonable here, and the result clearly supported the final answer. No unnecessary or duplicate tool calls were made."
How can I tell if an assignment is actually ready to do?,96286b4be4,good,The agent answer matches the ground truth closely. It states the two conditions for readiness: the homework form must be open and the title must not contain [DRAFT]. It also correctly explains that [DRAFT] means the homework is not ready yet and that working ahead is at the student’s own risk because the content may still change. This preserves the key information from the original answer.,good,"The single search query is directly relevant to the user’s question and uses the full question wording. One search call is reasonable here, and there were no unnecessary duplicate or overly broad searches. The tool use supports the final answer appropriately."
Is it safe to start working on homework before the form opens?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly states that starting early is at your own risk, and that the homework is only ready when the form is open and the title does not contain [DRAFT]. It also mentions that the content can still change, which aligns with the original answer.",good,"The single search query was relevant to the question and sufficient. There were no unnecessary duplicate calls, and the tool use supported the final answer."
Can the final homework version be different from what I see now?,96286b4be4,good,"The agent answer matches the ground truth. It correctly says the final homework version can differ, explains that this is especially true when the homework is marked [DRAFT], and includes the key conditions for readiness: the form being open and the title not containing [DRAFT]. It also notes that content can still change and that working ahead is at the student's own risk. No important information is missing.",good,"The single search query was relevant to the question and reasonably targeted the key idea. One search call was sufficient here, and there were no unnecessary duplicates or distracting refinements. The tool use supports the final answer adequately."
When is the next run of the course scheduled for?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the next run of the course is scheduled for Summer 2027.,good,"The single search query was directly relevant to the question and concise. One tool call was sufficient, and the result supported the final answer."
Do you know when this course will be offered again?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning and key detail: the course will be offered again in Summer 2027.,good,"The single search query is relevant to the question and asks about future course offerings. One search call is reasonable, and it supports the final answer."
What’s the next time this course will start?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning and key detail: the next course start is Summer 2027.,good,"The single search query was relevant to the question and concise. One search call is reasonable here, and it supported the final answer without unnecessary repetition."
When can I expect the course to be available next?,bd31146b0e,good,"The agent answer states that the course will next be offered in Summer 2027, which exactly matches the ground truth. The key information is present and correct.",good,"The single search query was relevant to the question and included the core keywords about course availability. One search call was sufficient, and it supported the final answer without unnecessary repetition."
Is there a date for the upcoming course offering?,bd31146b0e,bad,"The agent did not match the ground truth. The correct answer is simply 'Summer 2027.' Instead, the agent said it could not find an exact start date and provided unrelated details about course materials, deadlines, and registration. This misses the key information asked for.",good,"The search query was relevant to the question because it asked about the upcoming course offering date. However, only one search was made and it failed to retrieve the specific answer. Since the query did not include the exact likely term 'Summer 2027' or broader cohort/date keywords, the trajectory was only partially reasonable, but still acceptable for a single attempt."
Where can I find the course lectures or videos for this zoomcamp?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, that lesson folders contain the relevant videos linked at the top, and that the GitHub repo is preferred over the YouTube playlist because it is more up to date. This preserves the key information from the original answer.",good,"The single search query was relevant to the question and asked about course lectures/videos for the zoomcamp. Although it was somewhat generic and could have included the repo name, one search call is reasonable here and there were no unnecessary duplicate calls. The tool use was acceptable and supported the final answer."
What’s the best place to start if I’m looking for the lesson videos?,31456f4b5f,good,"The agent answer matches the ground truth: it recommends the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that lesson pages have the videos linked at the top, and advises using GitHub first because it stays more up to date than the YouTube playlist. This covers the key information accurately.",good,"The single search query is somewhat generic but still relevant to the question about where to find lesson videos. There was only one tool call, which is reasonable, and no unnecessary duplicate searches. The tool use does not detract from the final answer."
"Are the videos linked somewhere in the repo, or do I need to search YouTube?",31456f4b5f,good,"The agent answer matches the ground truth. It correctly says the videos are linked in the course repo, specifically in the lesson folders at the top of each lesson page, and recommends using the GitHub repo as the main/up-to-date entry point rather than searching YouTube first. The extra offer to point to a specific lesson folder does not conflict with the original answer.",good,"The single search query was only loosely relevant and did not include the key repository name or the specific question terms. However, given the simple question, one search call is reasonable, and there were no unnecessary repeated calls. The tool use was acceptable, though not especially targeted."
How do I get to the lecture recordings for each lesson in this course?,31456f4b5f,good,"The agent’s answer matches the ground truth closely. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and find the relevant videos linked at the top of each lesson page. It also correctly notes that the GitHub repo is the preferred source over the YouTube playlist if things are out of date. No important information is missing.",good,"The single search query was relevant to the user’s question and included key terms about lecture recordings and lessons. One search was sufficient, and there were no unnecessary or duplicate tool calls. The tool use reasonably supported the final answer."
Should I use the GitHub repo or the YouTube playlist to find the latest course videos?,31456f4b5f,good,"The agent’s answer matches the ground truth. It correctly says to use the GitHub repo as the main source, notes that lesson pages link to the relevant videos, and states that the repo is easier to keep updated than the YouTube playlist. The wording is paraphrased but the key guidance is the same.",good,"The single search query was relevant to the question and used important keywords like GitHub repo, YouTube playlist, and latest course videos. One search is sufficient here, and there were no unnecessary or duplicate tool calls. The tool use reasonably supported the final answer."
